R.Time (min)	Intensity
0	0
833	0.0172344233295747
1667	-0.965510463757022
2500	-0.948276040427447
3333	-1.93104161709787
4167	-1.91378650418447
5000	-2.89655208085489
5833	-2.87931765752532
6667	-2.86206254461192
7500	-2.84482812128234
8333	-2.82759369795277
9167	-2.81033858503936
10000	-2.79310416170979
10833	-2.77586973838021
11667	-2.75861462546681
12500	-2.74138020213723
13333	-2.72414577880766
14167	-2.70689066589426
15000	-2.68965624256468
15833	-2.67242181923511
16667	-2.6551667063217
17500	-2.63793228299213
18333	-1.62069785966255
19167	-1.60344274674915
20000	-1.58620832341957
20833	-0.56897390009
21667	-0.551718787176596
22500	-0.534484363847021
23333	-0.517249940517446
24167	0.500005172395957
25000	-0.482760404274468
25833	-0.465525980944893
26667	-0.44827086803149
27500	-0.431036444701915
28333	-1.41380202137234
29167	-1.39654690845894
30000	-0.379312485129362
30833	-0.362078061799787
31667	0.655177051113617
32500	0.672411474443192
33333	1.68964589777277
34167	1.70690101068617
35000	1.72413543401574
35833	0.741369857345319
36667	0.758624970258723
37500	-0.224140606411702
38333	-1.20690618308213
39167	-1.18965107016872
40000	-1.17241664683915
40833	-2.15518222350957
41667	-2.13792711059617
42500	-2.1206926872666
43333	-2.10345826393702
44167	-2.08620315102362
45000	-2.06896872769404
45833	-2.05173430436447
46667	-3.03447919145106
47500	-3.01724476812149
48333	-3.00001034479191
49167	-2.98275523187851
50000	-2.96552080854894
50833	-2.94828638521936
51667	-1.93103127230596
52500	-1.91379684897638
53333	-1.89656242564681
54167	-1.8793073127334
55000	-1.86207288940383
55833	-1.84483846607425
56667	-1.82758335316085
57500	-1.81034892983128
58333	-1.7931145065017
59167	-1.7758593935883
60000	-1.75862497025872
60833	-1.74139054692915
61667	-1.72413543401574
62500	-1.70690101068617
63333	-0.689666587356595
64167	-0.672411474443191
65000	-0.655177051113617
65833	0.362057372215958
66667	0.379312485129362
67500	0.396546908458936
68333	0.413781331788511
69167	-0.568963555298085
70000	0.44827086803149
70833	0.465505291361064
71667	0.482760404274468
72500	0.499994827604043
73333	0.517229250933617
74167	-0.465515636152979
75000	-0.448281212823404
75833	-0.431046789493829
76667	-0.413791676580425
77500	-0.396557253250851
78333	-0.379322829921276
79167	-0.362067717007872
80000	-0.344833293678298
80833	0.672401129651277
81667	0.689656242564681
82500	0.706890665894256
83333	-0.27587491077617
84167	-0.258619797862766
85000	-0.241385374533191
85833	-0.224150951203617
86667	-0.206895838290213
87500	-0.189661414960638
88333	-0.172426991631063
89167	-0.15517187871766
90000	-0.137937455388085
90833	-0.12070303205851
91667	-0.103447919145106
92500	-0.0862134958155316
93333	-0.0689790724859569
94167	0.948276040427447
95000	0.965510463757022
95833	0.982744887086596
96667	0
97500	-0.00861730080897105
98333	-0.0172346016179422
99167	-0.0258622473258436
100000	-0.0344795481348147
100833	-0.0430968489437858
101667	-1.05172449465169
102500	-1.06034179546066
103333	-1.06895909626963
104167	-1.07758674197753
105000	-1.0862040427865
105833	-0.0948213435954731
106667	-0.103448989303375
107500	-0.112066290112346
108333	-0.120683590921317
109167	-0.129311236629218
110000	-0.137928537438189
110833	-0.14654583824716
111667	-0.155173483955062
112500	-0.163790784764033
113333	-0.172408085573004
114167	-0.181035731280905
115000	-0.189653032089876
115833	-0.198270332898848
116667	-0.206897978606749
