R.Time (min)	Intensity
0	0
833	0
1667	0
2500	0
3333	-1
4167	-1
5000	-1
5833	-1
6667	-1
7500	-1
8333	-1
9167	0
10000	0
10833	0
11667	0
12500	0
13333	1
14167	1
15000	1
15833	1
16667	1
17500	1
18333	1
19167	1
20000	1
20833	2
21667	2
22500	2
23333	2
24167	2
25000	2
25833	2
26667	2
27500	1
28333	1
29167	2
30000	2
30833	3
31667	3
32500	3
33333	3
34167	3
35000	4
35833	4
36667	4
37500	4
38333	4
39167	3
40000	2
40833	2
41667	1
42500	0
43333	-1
44167	-1
45000	-1
45833	-1
46667	-1
47500	-1
48333	-1
49167	-1
50000	-1
50833	-1
51667	-1
52500	0
53333	0
54167	0
55000	0
55833	0
56667	0
57500	0
58333	0
59167	0
60000	0
60833	0
61667	1
62500	1
63333	1
64167	1
65000	1
65833	1
66667	1
67500	1
68333	1
69167	1
70000	1
70833	1
71667	1
72500	1
73333	2
74167	2
75000	2
75833	2
76667	2
77500	2
78333	2
79167	2
80000	2
80833	2
81667	2
82500	1
83333	1
84167	1
85000	1
85833	1
86667	1
87500	0
88333	0
89167	0
90000	0
90833	0
91667	0
92500	0
93333	0
94167	0
95000	0
95833	0
96667	0
97500	-0.0344692032358844
98333	-0.0689384064717688
99167	-0.103448989303375
100000	-0.137918192539259
100833	0.827612604224857
101667	0.793102021393251
102500	0.758632818157367
103333	0.724163614921482
104167	0.689653032089876
105000	0.655183828853992
105833	1.62071462561811
106667	1.5862040427865
107500	1.55173483955062
108333	1.51726563631473
109167	1.48275505348313
110000	0.448285850247243
110833	0.413816647011359
111667	1.37930606417975
112500	1.34483686094387
113333	1.31036765770798
114167	0.275857074876378
115000	0.241387871640494
115833	1.20691866840461
116667	1.172408085573
117500	1.13793888233712
118333	1.10346967910124
119167	1.06895909626963
120000	1.03448989303374
120833	1.00002068979786
121667	1.96551010696625
122500	1.93104090373037
123333	1.89657170049449
124167	1.86206111766288
125000	1.827591914427
125833	1.79312271119111
126667	2.75861212835951
127500	2.72414292512362
128333	2.68967372188774
129167	2.65516313905613
130000	2.62069393582025
130833	2.58622473258436
131667	1.55171414975276
132500	1.51724494651687
133333	1.48277574328099
134167	1.44826516044938
135000	1.4137959572135
135833	1.37932675397761
136667	1.34481617114601
137500	1.31034696791012
138333	1.27587776467424
139167	1.24136718184263
140000	2.20689797860675
140833	2.17242877537086
141667	2.13791819253926
142500	2.10344898930337
143333	1.06897978606749
144167	1.03446920323588
145000	1
145833	0.965530796764116
146667	0.93102021393251
147500	0.896551010696625
148333	0.862081807460741
149167	0.827571224629136
150000	0.793102021393251
150833	0.758632818157367
151667	1.72412223532576
152500	1.68965303208988
153333	1.65518382885399
154167	1.62067324602239
155000	1.5862040427865
155833	1.55173483955062
156667	1.51722425671901
157500	1.48275505348313
158333	1.44828585024724
159167	1.41377526741564
160000	1.37930606417975
160833	1.34483686094387
161667	1.31032627811226
162500	1.27585707487638
163333	1.24138787164049
164167	1.20687728880889
165000	1.172408085573
165833	1.13793888233712
166667	0.103428299505514
167500	0.0689590962696296
168333	0.0344898930337449
169167	-2.06897978607401E-5
170000	-0.0344898930337449
170833	0.93104090373037
171667	0.896530320898765
172500	0.862061117662881
173333	0.827591914426996
174167	0.79308133159539
175000	0.758612128359506
175833	0.724142925123621
176667	0.689632342292016
177500	0.655163139056131
178333	0.620693935820247
179167	0.586183352988641
180000	1.55171414975276
180833	1.51724494651687
181667	1.48273436368527
182500	0.448265160449382
183333	0.413795957213498
184167	0.379285374381892
185000	0.344816171146008
185833	0.310346967910124
186667	0.275836385078518
187500	0.241367181842633
188333	0.206897978606749
189167	0.172387395775143
190000	0.137918192539259
190833	0.103448989303375
191667	0.0689384064717689
192500	0.0344692032358842
193333	0
194167	0.991372443543298
195000	0.982755231878511
195833	0.974138020213723
196667	0.965510463757021
197500	0.956893252092234
198333	-0.0517239595725529
199167	-0.0603515160292547
200000	-0.0689687276940427
200833	0.92241406064117
201667	0.913786504184468
202500	-0.0948307074803187
203333	-0.103447919145107
204167	-0.112075475601809
205000	-0.120692687266596
205833	-0.129309898931383
206667	-0.137937455388085
207500	-0.146554667052873
208333	-0.15517187871766
209167	0.836200564825639
210000	0.827583353160851
210833	0.818966141496063
211667	0.810338585039362
212500	0.801721373374575
213333	0.793104161709787
214167	0.784476605253086
215000	0.775859393588298
215833	0.76724218192351
216667	0.758614625466809
217500	0.749997413802022
218333	0.741380202137234
219167	0.732752645680532
220000	0.724135434015745
220833	0.715518222350958
221667	-0.293109334105744
222500	-0.301726545770531
223333	-0.310343757435319
224167	-0.318971313892021
225000	-0.327588525556808
225833	0.663794262778405
226667	0.655166706321702
227500	0.646549494656915
228333	0.637932282992128
229167	0.629304726535426
230000	0.620687514870639
230833	-0.387929696794149
231667	-0.396557253250851
232500	-0.405174464915638
233333	-0.413791676580425
234167	-0.422419233037127
235000	0.568963555298085
235833	0.560346343633298
236667	0.551718787176596
237500	0.543101575511809
238333	0.534484363847021
239167	0.525856807390319
240000	0.517239595725532
240833	0.508622384060745
241667	0.499994827604043
242500	0.491377615939255
243333	1.48276040427447
244167	1.47413284781777
245000	1.46551563615298
245833	1.45689842448819
246667	1.44827086803149
247500	1.4396536563667
248333	1.43103644470192
249167	1.42240888824521
250000	1.41379167658043
250833	1.40517446491564
251667	1.39654690845894
252500	1.38792969679415
253333	1.37931248512936
254167	1.37068492867266
255000	1.36206771700787
255833	0.353450505343085
256667	1.34482294888638
257500	1.3362057372216
258333	1.32758852555681
259167	1.31896096910011
260000	1.31034375743532
260833	1.30172654577053
261667	0.29309898931383
262500	0.284481777649042
263333	0.275864565984255
264167	0.267237009527554
265000	0.258619797862766
265833	0.250002586197978
266667	0.241375029741277
267500	0.23275781807649
268333	0.224140606411702
269167	0.215513049955
270000	0.206895838290213
270833	0.198278626625426
271667	0.189651070168724
272500	0.181033858503936
273333	0.172416646839149
274167	0.163789090382447
275000	0.15517187871766
275833	0.146554667052873
276667	0.13792711059617
277500	0.129309898931383
278333	0.120692687266596
279167	0.112065130809894
280000	0.103447919145107
280833	0.0948307074803187
281667	0.086203151023617
282500	-0.92241406064117
283333	-0.931031272305957
284167	-0.93965882876266
285000	-0.948276040427447
285833	-0.956893252092234
286667	0.034479191451064
287500	0.0258619797862769
288333	0.0172447681214889
289167	0.00861721166478713
290000	0
290833	0
291667	0
292500	0
293333	0
294167	0
295000	0
295833	0
296667	0
297500	0
298333	0
299167	0
300000	0
300833	0
301667	-1
302500	-1
303333	-1
304167	-1
305000	-1
305833	-1
306667	-1
307500	-1
308333	-1
309167	-1
310000	0
310833	0
311667	0
312500	0
313333	0
314167	0
315000	0
315833	0
316667	0
317500	0
318333	-1
319167	-1
320000	-1
320833	0
321667	0
322500	0
323333	0
324167	0
325000	-1
325833	-1
326667	-1
327500	-1
328333	-1
329167	-1
330000	-1
330833	-1
331667	0
332500	0
333333	0
334167	0
335000	0
335833	0
336667	0
337500	0
338333	0
339167	0
340000	-1
340833	-1
341667	-1
342500	-1
343333	-1
344167	-1
345000	-1
345833	0
346667	0
347500	0
348333	0
349167	-1
350000	0
350833	0
351667	0
352500	0
353333	0
354167	0
355000	0
355833	0
356667	0
357500	0
358333	0
359167	0
360000	0
360833	0
361667	0
362500	0
363333	0
364167	-1
365000	-1
365833	-1
366667	-1
367500	0
368333	0
369167	0
370000	0
370833	0
371667	0
372500	0
373333	0
374167	1
375000	1
375833	1
376667	1
377500	1
378333	0
379167	0
380000	0
380833	-1
381667	0
382500	0
383333	0
384167	0
385000	0
385833	0
386667	0
387500	-0.00861730080897072
388333	-1.01723460161794
389167	-1.02586224732584
390000	-1.03447954813482
390833	-0.0430968489437857
391667	-0.0517244946516868
392500	-0.0603417954606584
393333	-0.0689590962696292
394167	-0.0775867419775311
395000	-0.0862040427865018
395833	-0.0948213435954735
396667	-1.10344898930337
397500	-1.11206629011235
398333	-1.12068359092132
399167	-1.12931123662922
400000	-1.13792853743819
400833	-1.14654583824716
401667	-0.155173483955061
402500	-0.163790784764033
403333	-0.172408085573004
404167	-0.181035731280906
405000	-0.189653032089876
405833	-0.198270332898848
406667	-0.206897978606749
407500	-0.21551527941572
408333	-0.224132580224691
409167	-0.232760225932592
410000	-0.241377526741564
410833	-0.249994827550535
411667	-0.258622473258436
412500	-0.267239774067408
413333	-0.275857074876378
414167	0.71551527941572
415000	0.706897978606749
415833	0.698280677797777
416667	0.689653032089876
417500	0.681035731280906
418333	0.672418430471934
419167	0.663790784764033
420000	0.655173483955061
420833	1.64655618314609
421667	1.63792853743819
422500	1.62931123662922
423333	1.62069393582025
424167	1.61206629011235
425000	1.60344898930337
425833	1.5948316884944
426667	1.5862040427865
427500	1.57758674197753
428333	1.56896944116856
429167	1.56034179546066
430000	1.55172449465169
430833	0.543107193842716
431667	0.534479548134815
432500	0.525862247325843
433333	0.517244946516873
434167	0.508617300808971
435000	0.5
435833	0.491382699191029
436667	0.482755053483127
437500	1.47413775267416
438333	1.46552045186519
439167	1.45689280615728
440000	1.44827550534831
440833	1.43965820453934
441667	1.43103055883144
442500	1.42241325802247
443333	1.4137959572135
444167	1.4051683115056
445000	1.39655101069663
445833	1.38793370988765
446667	1.37930606417975
447500	1.37068876337078
448333	1.36207146256181
449167	1.35344381685391
450000	1.34482651604494
450833	1.33620921523597
451667	1.32758156952807
452500	1.31896426871909
453333	1.31034696791012
454167	2.30171932220222
455000	2.29310202139325
455833	2.28448472058428
456667	2.27585707487638
457500	2.26723977406741
458333	2.25862247325844
459167	2.24999482755053
460000	2.24137752674156
460833	1.23276022593259
461667	1.22413258022469
462500	1.21551527941572
463333	1.20689797860675
464167	1.19827033289885
465000	2.18965303208988
465833	2.18103573128091
466667	2.172408085573
467500	2.16379078476403
468333	2.15517348395506
469167	2.14654583824716
470000	2.13792853743819
470833	2.12931123662922
471667	2.12068359092132
472500	2.11206629011235
473333	2.10344898930337
474167	2.09482134359547
475000	2.0862040427865
475833	2.07758674197753
476667	2.06895909626963
477500	1.06034179546066
478333	1.05172449465169
479167	1.04309684894379
480000	1.03447954813482
480833	1.02586224732584
481667	1.01723460161794
482500	1.00861730080897
483333	0
484167	-0.00862755645670177
485000	-0.0172447681214889
485833	-0.0258619797862769
486667	0.965510463757021
487500	0.956893252092234
488333	0.948276040427447
489167	-0.0603515160292547
490000	-0.0689687276940427
490833	0.92241406064117
491667	0.913786504184468
492500	0.905169292519681
493333	1.89655208085489
494167	0.887924524398191
495000	0.879307312733404
495833	0.870690101068617
496667	0.862062544611915
497500	0.853445332947127
498333	0.84482812128234
499167	0.836200564825639
500000	0.827583353160851
500833	0.818966141496063
501667	0.810338585039362
502500	0.801721373374575
503333	0.793104161709787
504167	0.784476605253086
505000	0.775859393588298
505833	0.76724218192351
506667	0.758614625466809
507500	0.749997413802022
508333	0.741380202137234
509167	0.732752645680532
510000	0.724135434015745
510833	0.715518222350958
511667	0.706890665894256
512500	0.698273454229469
513333	-0.310343757435319
514167	-0.318971313892021
515000	-0.327588525556808
515833	-0.336205737221595
516667	-0.344833293678298
517500	-0.353450505343085
518333	-0.362067717007872
519167	0.629304726535426
520000	0.620687514870639
520833	0.612070303205851
521667	0.603442746749149
522500	0.594825535084362
523333	0.586208323419575
524167	0.577580766962873
525000	0.568963555298085
525833	0.560346343633298
526667	0.551718787176596
527500	0.543101575511809
528333	0.534484363847021
529167	0.525856807390319
530000	0.517239595725532
530833	0.508622384060745
531667	0.499994827604043
532500	0.491377615939255
533333	0.482760404274468
534167	0.474132847817766
535000	0.465515636152979
535833	0.456898424488191
536667	0.448270868031489
537500	0.439653656366702
538333	0.431036444701915
539167	1.42240888824521
540000	1.41379167658043
